ID,Ttime_Car (s),Ttime_PT (s),Ttime_bike (s),Distance (m)
268,1760,3701,3800,23886
265,1683,3717,3391,18176
262,2208,3723,6212,41785
261,2092,3724,5604,30674
257,1825,3735,3955,20435
256,2158,3740,6589,35435
254,2040,3749,5191,35031
253,2081,3751,6680,35159
251,2224,3758,6394,39430
434,1429,2966,3054,17621
249,2239,3767,7468,35194
247,2003,3768,4316,27123
248,2310,3768,7556,35546
245,1852,3773,4188,21498
241,1496,3786,3964,19461
567,970,2329,2039,10399
242,1496,3786,3964,19461
243,2018,3786,5214,30673
239,2176,3791,6277,39098
237,2201,3794,6348,33669
236,1593,3800,3497,16077
234,2026,3807,5003,34974
233,1609,3812,4064,22325
232,2021,3826,5299,30668
231,1913,3831,5057,28937
230,2240,3833,6261,40226
228,2120,3847,7451,34797
227,2034,3849,4994,35030
226,2100,3855,6237,33363
525,1424,2521,3108,18000
565,914,2336,2036,10062
562,924,2350,2010,10116
224,1931,3869,5561,30951
222,2058,3870,5286,29650
223,2359,3870,7623,41216
220,2224,3884,6249,39222
534,1309,2484,3133,17473
217,1821,3898,4524,20876
216,2080,3908,5415,31808
215,2336,3913,6342,34096
214,2052,3921,4535,27927
212,2382,3932,6393,34396
4,5192,7325,22748,107866
558,919,2383,2020,10233
209,1482,3950,3756,21222
207,2522,3957,8311,42011
203,2176,3971,6176,39336
202,2089,3991,5605,33821
200,2115,4009,6761,35529
201,2103,4009,5259,35373
199,2024,4024,4405,27495
250,2018,3759,4619,25239
554,964,2399,2062,10647
334,1957,3399,4548,24706
195,2059,4063,7620,34289
192,2153,4078,4878,30110
191,1598,4079,3999,22197
552,961,2403,2024,10322
370,1877,3258,4270,24020
188,2572,4115,8074,39598
283,1836,3603,4126,23441
408,1985,3107,4486,24856
526,1800,2520,4440,24000
184,2620,4129,6617,35943
546,1006,2443,2037,10243
183,2135,4138,5663,32476
541,1065,2465,2109,10757
531,982,2497,2058,10444
182,1600,4140,3720,18500
181,2327,4142,6487,34723
180,1828,4159,3949,20351
179,2324,4177,5514,30839
178,2234,4180,6221,40044
177,1950,4181,4621,29889
175,1889,4183,4992,32314
506,986,2624,2065,10763
174,2942,4186,7773,36197
173,1455,4191,3368,20936
172,1997,4193,5894,32299
171,1760,4207,4894,31781
170,2205,4213,6290,39646
169,2913,4216,8880,47161
168,2240,4217,6278,39678
166,2662,4234,8003,43416
165,1858,4236,4940,32018
164,2826,4239,9506,43613
163,2934,4240,7015,43172
67,3894,5427,13822,64397
160,1742,4276,3866,21822
159,2275,4279,6481,34468
156,1339,4291,3630,15894
157,1647,4291,3333,18597
155,2405,4294,7922,44425
154,2669,4298,8315,38005
153,2119,4306,5759,32449
505,1069,2626,2121,10942
152,2671,4314,8066,44838
151,3083,4315,8068,50785
150,2965,4331,7824,36813
149,1941,4340,5180,29307
147,2381,4351,7965,44344
146,2147,4354,5677,32543
145,2277,4357,6120,28698
144,2027,4376,5424,31765
30,4057,5848,11533,73190
142,1942,4388,4650,29783
141,2259,4400,6193,29618
140,2292,4413,6562,37320
117,3503,4698,8937,61686
137,1600,4440,4260,20000
138,2100,4440,6240,33700
135,2062,4490,5612,31950
134,2326,4494,6611,37489
133,2231,4497,5763,32642
132,1955,4545,5358,23555
131,2390,4566,6784,40000
130,1815,4596,3767,21120
129,1814,4599,3768,21116
128,2388,4602,6729,38211
127,2248,4612,5607,29773
125,2234,4645,6375,36151
124,2770,4654,7471,34873
502,999,2632,2093,10715
